species,latitude,longitude
Batrachoseps wrighti,45.3083,-122.135002
Batrachoseps wrighti,44.401001,-122.440399
Batrachoseps wrighti,44.401001,-122.440399
Batrachoseps wrighti,44.016667,-122.233333
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,45.0793,-122.04
Batrachoseps wrighti,45.3057,-121.865
Batrachoseps wrighti,45.0793,-122.04
Batrachoseps wrighti,44.0359,-122.201
Batrachoseps wrighti,45.3057,-121.865
Batrachoseps wrighti,44.0359,-122.201
Batrachoseps wrighti,44.0359,-122.201
Batrachoseps wrighti,45.3057,-121.865
Batrachoseps wrighti,45.3083,-122.135
Batrachoseps wrighti,45.0793,-122.04
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,45.3083,-122.135
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,45.0793,-122.04
Batrachoseps wrighti,45.3057,-121.865
Batrachoseps wrighti,45.3057,-121.865
Batrachoseps wrighti,45.0793,-122.04
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,45.3057,-121.865
Batrachoseps wrighti,44.0201,-122.238
Batrachoseps wrighti,45.03,-122.06
Batrachoseps wrighti,44.02,-122.23
Batrachoseps wrighti,44.02,-122.23
Batrachoseps wrighti,45.54203012,-122.2410964
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,45.54203012,-122.2410964
Batrachoseps wrighti,45.54203012,-122.2410964
Batrachoseps wrighti,44.72863691,-122.1809798
Batrachoseps wrighti,44.72863691,-122.1809798
Batrachoseps wrighti,44.72863691,-122.1809798
Batrachoseps wrighti,44.72863691,-122.1809798
Batrachoseps wrighti,44.72863691,-122.1809798
Batrachoseps wrighti,44.01314308,-122.224768
Batrachoseps wrighti,44.01314308,-122.224768
Batrachoseps wrighti,44.01314308,-122.224768
Batrachoseps wrighti,44.01314308,-122.224768
Batrachoseps wrighti,44.01314308,-122.224768
Batrachoseps wrighti,44.01314308,-122.224768
Batrachoseps wrighti,44.01314308,-122.224768
Batrachoseps wrighti,44.73393697,-122.1697796
Batrachoseps wrighti,44.73393697,-122.1697796
Batrachoseps wrighti,44.73393697,-122.1697796
Batrachoseps wrighti,44.73393697,-122.1697796
Batrachoseps wrighti,45.37753256,-122.1037899
Batrachoseps wrighti,45.37753256,-122.1037899
Batrachoseps wrighti,45.37753256,-122.1037899
Batrachoseps wrighti,45.37753256,-122.1037899
Batrachoseps wrighti,45.45313083,-122.2304945
Batrachoseps wrighti,45.45313083,-122.2304945
Batrachoseps wrighti,45.45313083,-122.2304945
Batrachoseps wrighti,45.45313083,-122.2304945
Batrachoseps wrighti,45.3772326,-122.0996898
Batrachoseps wrighti,45.36693216,-122.1547909
Batrachoseps wrighti,45.3772326,-122.0996898
Batrachoseps wrighti,45.3772326,-122.0996898
Batrachoseps wrighti,45.36693216,-122.1547909
Batrachoseps wrighti,45.3772326,-122.0996898
Batrachoseps wrighti,45.3772326,-122.0996898
Batrachoseps wrighti,44.5808,-122.6523
Batrachoseps wrighti,44.76773846,-121.9781754
Batrachoseps wrighti,44.51273513,-122.5756856
Batrachoseps wrighti,44.57103569,-122.4597838
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.77343832,-121.9882758
Batrachoseps wrighti,44.766667,-121.978611
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.77343832,-121.9882758
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.766667,-121.978611
Batrachoseps wrighti,44.58093383,-122.6492887
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.77683839,-121.9770756
Batrachoseps wrighti,44.51273513,-122.5756856
Batrachoseps wrighti,44.51683616,-122.4602828
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.77343832,-121.9882758
Batrachoseps wrighti,44.76773846,-121.9781754
Batrachoseps wrighti,44.527736,-122.4678832
Batrachoseps wrighti,44.77343832,-121.9882758
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.77343832,-121.9882758
Batrachoseps wrighti,44.527736,-122.4678832
Batrachoseps wrighti,44.766667,-121.978611
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.56173412,-122.636688
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.76773846,-121.9781754
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.57103569,-122.4597838
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.58093383,-122.6492887
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.58273354,-122.6786894
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.01954294,-122.2329683
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.01954294,-122.2329683
Batrachoseps wrighti,45.42413884,-121.3917728
Batrachoseps wrighti,45.38073952,-121.3510709
Batrachoseps wrighti,45.4061392,-121.3663718
Batrachoseps wrighti,45.37893763,-121.5570761
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,43.89094376,-122.2837673
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,43.89094376,-122.2837673
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,43.89094376,-122.2837673
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,43.89094376,-122.2837673
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,43.89094376,-122.2837673
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.34394198,-122.0002684
Batrachoseps wrighti,44.34394198,-122.0002684
Batrachoseps wrighti,43.69834804,-122.0325578
Batrachoseps wrighti,44.34394198,-122.0002684
Batrachoseps wrighti,43.69834804,-122.0325578
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913353,-122.6837895
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913353,-122.6837895
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913353,-122.6837895
Batrachoseps wrighti,44.57913353,-122.6837895
Batrachoseps wrighti,44.57913372,-122.663689
Batrachoseps wrighti,44.57913353,-122.6837895
Batrachoseps wrighti,44.57913353,-122.6837895
Batrachoseps wrighti,44.57913353,-122.6837895
Batrachoseps wrighti,44.57913353,-122.6837895
Batrachoseps wrighti,44.54033452,-122.613887
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.54033452,-122.613887
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.54033452,-122.613887
Batrachoseps wrighti,44.54033452,-122.613887
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.54033452,-122.613887
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,43.83474652,-122.0444605
Batrachoseps wrighti,44.54033452,-122.613887
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.54033452,-122.613887
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
Batrachoseps wrighti,44.02004289,-122.2372685
