samp	site	regions
BC_RA0931	Bear	westPDX
BC_RA0932	Bear	westPDX
BC_RA0933	Bear	westPDX
BC_RA0934	Bear	westPDX
BC_RA0935	Bear	westPDX
BC_RA0936	Bear	westPDX
BV_RA1092	Bridal	columbia
BV_RA1093	Bridal	columbia
BV_RA1094	Bridal	columbia
BV_RA1297	Bridal	columbia
BV_RA1299	Bridal	columbia
Dow_RA0921	Dowsett	westPDX
Dow_RA0922	Dowsett	westPDX
Dow_RA0923	Dowsett	westPDX
Dow_RA0924	Dowsett	westPDX
Dow_RA0925	Dowsett	westPDX
Dow_RA0926	Dowsett	westPDX
FP_RA0948	Fishpond	eastPDX
FP_RA0949	Fishpond	eastPDX
FP_RA0950	Fishpond	eastPDX
FP_RA0951	Fishpond	eastPDX
FP_RA0952	Fishpond	eastPDX
FP_RA0953	Fishpond	eastPDX
GB_RA0941	Gabbert	westPDX
GB_RA0942	Gabbert	westPDX
GB_RA0943	Gabbert	westPDX
GB_RA0944	Gabbert	westPDX
GB_RA0945	Gabbert	westPDX
GB_RA0947	Gabbert	westPDX
JC_RA1860	Johnson	westPDX
JC_RA1889	Johnson	westPDX
JC_RA1890	Johnson	westPDX
JC_RA1900	Johnson	westPDX
KO18	KeelOver	southern
Mar_RA1805	Marmot	hood
Mar_RA1806	Marmot	hood
Mar_RA1807	Marmot	hood
Mar_RA1808	Marmot	hood
Mar_RA1810	Marmot	hood
Oxb_RA1101	Oxbow	columbia
Oxb_RA1102	Oxbow	columbia
Oxb_RA1103c	Oxbow	columbia
Oxb_RA1104	Oxbow	columbia
Oxb_RA1105c	Oxbow	columbia
Oxb_RA1106	Oxbow	columbia
Pal_RA0957	Palopa	eastPDX
Pal_RA0958	Palopa	eastPDX
Pal_RA0959	Palopa	eastPDX
Pal_RA0960	Palopa	eastPDX
Pal_RA0961	Palopa	eastPDX
PB_RA0901	Powell	westPDX
PB_RA0902	Powell	westPDX
PB_RA0903	Powell	westPDX
PB_RA0904	Powell	westPDX
PB_RA0905	Powell	westPDX
PB_RA0906	Powell	westPDX
Sal_RA1116c	Salmon	hood
Sal_RA1117	Salmon	hood
Sal_RA1118c	Salmon	hood
Sal_RA1119	Salmon	hood
Sal_RA1120	Salmon	hood
TC26	TC	southern
TC6	TC	southern
TL14	TC	southern
TT3	TT	columbia
Wild_RA1112	Wildcat	hood
Wild_RA1113c	Wildcat	hood
Wild_RA1114	Wildcat	hood
WW_RA1088	Wildwood	hood
WW_RA1089	Wildwood	hood
WW_RA1091	Wildwood	hood
