,p1,Bridal,Dowsett,Fishpond,Gabbert,Johnson,KeelOver,Marmot,Oxbow,Palopa,Powell,Salmon,TC,TT,Wildcat,Wildwood
1,Bear,0.292525273841529,0.1625755968117,0.104047174622437,0.0325468042095453,0.0548207801850078,0.893482527075494,0.315562140233675,0.168893689911447,0.133995824042774,0.0741034874890859,0.325869942455793,0.830924938722103,0.397429022574285,0.357456501282913,0.407094373466239
2,Bridal,NA,0.292785246149036,0.192576788648945,0.26821826961514,0.283296416941971,0.838354000658172,0.16965266141023,0.172758829727628,0.197048308801684,0.316100183983492,0.203238439705514,0.781614884390815,0.115010126450884,0.232565576808376,0.232302272538581
3,Dowsett,NA,NA,0.125465705571955,0.129744018398453,0.196522849113212,0.886736911665948,0.308851519349375,0.183083467330551,0.151246112912793,0.197893796717164,0.315839374917901,0.823796683528563,0.389812436673333,0.345437359327762,0.40196539606582
4,Fishpond,NA,NA,NA,0.078651856693579,0.10962408799885,0.849714776891595,0.22084027169564,0.0725805423214244,0.02759838848647,0.133640516761755,0.243593054445106,0.798157176240331,0.203475763778967,0.238751517250495,0.276220447316339
5,Gabbert,NA,NA,NA,NA,0.0695750598778888,0.881187268822579,0.294278776280439,0.146982084555448,0.106119320214478,0.0792181598747327,0.308131606555639,0.824385185190466,0.339172123346216,0.326587643167202,0.372927125139655
6,Johnson,NA,NA,NA,NA,NA,0.903124391791618,0.284588391078655,0.161899283484341,0.139894391205572,0.0975415145828856,0.285576931912639,0.805930109619605,0.451824928387277,0.328031831777776,0.405677477303849
7,KeelOver,NA,NA,NA,NA,NA,NA,0.781077390255462,0.835246894754967,0.847905805464493,0.897948507971563,0.73628505478624,0.199246644056711,NA,0.748125059469854,0.795299681653891
8,Marmot,NA,NA,NA,NA,NA,NA,NA,0.193818142511942,0.220819781234256,0.333887841648391,0.0891539579282663,0.739661954404767,0.0698545667980133,0.133893921731829,0.0647720857832578
9,Oxbow,NA,NA,NA,NA,NA,NA,NA,NA,0.0850653596674661,0.19292426588271,0.217035044575311,0.785597561103685,0.166614563230176,0.206470249272528,0.241439239135897
10,Palopa,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16369209797993,0.238968900097561,0.791420586827638,0.216092977573301,0.237001249506354,0.282338541774127
11,Powell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340882858990964,0.8362363186478,0.422873602448222,0.376083425548487,0.431564857567668
12,Salmon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.713514210057156,0.0749748657955775,0.109878299262373,0.0541606673662966
13,TC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677557859922845,0.704421398821735,0.711162144523308
14,TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0542061754874284,0.115742329021726
15,Wildcat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12379896545864
