,p1,Bridal,Dowsett,Fishpond,Gabbert,Johnson,KeelOver,Marmot,Oxbow,Palopa,Powell,Salmon,TC,TT,Wildcat,Wildwood
1,Bear,0.002997002997003,0.00599400599400599,0.046953046953047,0.154845154845155,0.163836163836164,0.000999000999000999,0.000999000999000999,0.012987012987013,0.028971028971029,0.0699300699300699,0.001998001998002,0.000999000999000999,0.0639360639360639,0.012987012987013,0.004995004995005
2,Bridal,NA,0.001998001998002,0.013986013986014,0.002997002997003,0.00799200799200799,0.00999000999000999,0.018981018981019,0.020979020979021,0.00899100899100899,0.002997002997003,0.00699300699300699,0.000999000999000999,0.225774225774226,0.027972027972028,0.01998001998002
3,Dowsett,NA,NA,0.023976023976024,0.025974025974026,0.023976023976024,0.001998001998002,0.001998001998002,0.010989010989011,0.018981018981019,0.00599400599400599,0.001998001998002,0.000999000999000999,0.0699300699300699,0.011988011988012,0.004995004995005
4,Fishpond,NA,NA,NA,0.0729270729270729,0.0599400599400599,0.002997002997003,0.00999000999000999,0.0899100899100899,0.211788211788212,0.030969030969031,0.00599400599400599,0.000999000999000999,0.128871128871129,0.022977022977023,0.010989010989011
5,Gabbert,NA,NA,NA,NA,0.141858141858142,0.000999000999000999,0.001998001998002,0.020979020979021,0.033966033966034,0.0589410589410589,0.002997002997003,0.000999000999000999,0.0789210789210789,0.013986013986014,0.004995004995005
6,Johnson,NA,NA,NA,NA,NA,0.000999000999000999,0.00799200799200799,0.034965034965035,0.032967032967033,0.0809190809190809,0.00999000999000999,0.000999000999000999,0.0569430569430569,0.012987012987013,0.004995004995005
7,KeelOver,NA,NA,NA,NA,NA,NA,0.030969030969031,0.00599400599400599,0.003996003996004,0.000999000999000999,0.034965034965035,0.160839160839161,NA,0.033966033966034,0.016983016983017
8,Marmot,NA,NA,NA,NA,NA,NA,NA,0.014985014985015,0.001998001998002,0.000999000999000999,0.0629370629370629,0.000999000999000999,0.252747252747253,0.0819180819180819,0.183816183816184
9,Oxbow,NA,NA,NA,NA,NA,NA,NA,NA,0.0639360639360639,0.013986013986014,0.00799200799200799,0.000999000999000999,0.162837162837163,0.048951048951049,0.024975024975025
10,Palopa,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017982017982018,0.002997002997003,0.000999000999000999,0.13986013986014,0.015984015984016,0.010989010989011
11,Powell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000999000999000999,0.000999000999000999,0.0659340659340659,0.00899100899100899,0.003996003996004
12,Salmon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000999000999000999,0.247752247752248,0.125874125874126,0.20979020979021
13,TC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0569430569430569,0.001998001998002,0.000999000999000999
14,TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313686313686314,0.264735264735265
15,Wildcat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0789210789210789
